id,anglais,francais,categorie,monde,semaine_intro,jour_intro,r1,r2,r3,r4,r5,maitrise
295,brush my teeth,me brosser les dents,structure,M7 · My School & My Day,S27,1,S27,S27,S28,S29,S32,S32
296,queen,(mot de lecture),décodable,M7 · My School & My Day,S27,2,S27,S27,S28,S29,S32,S32
297,quick,(mot de lecture),décodable,M7 · My School & My Day,S27,3,S27,S28,S28,S29,S32,S32
298,yet,(mot de lecture),décodable,M7 · My School & My Day,S27,4,S27,S28,S28,S30,S32,S32
299,house,maison,lexique,M8 · My World,S29,1,S29,S29,S30,S31,Été,Été
300,street,rue,lexique,M8 · My World,S29,2,S29,S29,S30,S31,Été,Été
301,shop,magasin,lexique,M8 · My World,S29,3,S29,S30,S30,S31,Été,Été
302,park,parc,lexique,M8 · My World,S29,4,S29,S30,S30,S32,Été,Été
303,beach,plage,lexique,M8 · My World,S29,1,S29,S29,S30,S31,Été,Été
304,where,où,fonction,M8 · My World,S29,2,S29,S29,S30,S31,Été,Été
305,in,dans,fonction,M8 · My World,S29,3,S29,S30,S30,S31,Été,Été
306,on,sur,fonction,M8 · My World,S29,4,S29,S30,S30,S32,Été,Été
307,under,sous,fonction,M8 · My World,S29,1,S29,S29,S30,S31,Été,Été
308,Where is …?,où est … ?,structure,M8 · My World,S29,2,S29,S29,S30,S31,Été,Été
309,garden,jardin,lexique,M8 · My World,S29,3,S29,S30,S30,S31,Été,Été
310,door,porte,lexique,M8 · My World,S29,4,S29,S30,S30,S32,Été,Été
311,window,fenêtre,lexique,M8 · My World,S29,1,S29,S29,S30,S31,Été,Été
312,city,ville,lexique,M8 · My World,S29,2,S29,S29,S30,S31,Été,Été
313,car,(mot de lecture),décodable,M8 · My World,S29,3,S29,S30,S30,S31,Été,Été
314,star,(mot de lecture),décodable,M8 · My World,S29,4,S29,S30,S30,S32,Été,Été
315,far,(mot de lecture),décodable,M8 · My World,S29,1,S29,S29,S30,S31,Été,Été
316,sunny,ensoleillé,lexique,M8 · My World,S30,1,S30,S30,S31,S32,Été,Été
317,rainy,pluvieux,lexique,M8 · My World,S30,2,S30,S30,S31,S32,Été,Été
318,hot,chaud,lexique,M8 · My World,S30,3,S30,S31,S31,S32,Été,Été
319,cold,froid,lexique,M8 · My World,S30,4,S30,S31,S31,Été,Été,Été
320,windy,venteux,lexique,M8 · My World,S30,1,S30,S30,S31,S32,Été,Été
321,weather,météo,lexique,M8 · My World,S30,2,S30,S30,S31,S32,Été,Été
322,What's the weather like?,quel temps fait-il ?,structure,M8 · My World,S30,3,S30,S31,S31,S32,Été,Été
323,desert,désert,lexique,M8 · My World,S30,4,S30,S31,S31,Été,Été,Été
324,sea,mer,lexique,M8 · My World,S30,1,S30,S30,S31,S32,Été,Été
325,mountain,montagne,lexique,M8 · My World,S30,2,S30,S30,S31,S32,Été,Été
326,sun,soleil,lexique,M8 · My World,S30,3,S30,S31,S31,S32,Été,Été
327,cloud,nuage,lexique,M8 · My World,S30,4,S30,S31,S31,Été,Été,Été
328,snow,neige,lexique,M8 · My World,S30,1,S30,S30,S31,S32,Été,Été
329,sky,ciel,lexique,M8 · My World,S30,2,S30,S30,S31,S32,Été,Été
330,tree,arbre,lexique,M8 · My World,S30,3,S30,S31,S31,S32,Été,Été
331,flower,fleur,lexique,M8 · My World,S30,4,S30,S31,S31,Été,Été,Été
332,fork,(mot de lecture),décodable,M8 · My World,S30,1,S30,S30,S31,S32,Été,Été
333,corn,(mot de lecture),décodable,M8 · My World,S30,2,S30,S30,S31,S32,Été,Été
334,her,(mot de lecture),décodable,M8 · My World,S30,3,S30,S31,S31,S32,Été,Été
335,river,(mot de lecture),décodable,M8 · My World,S30,4,S30,S31,S31,Été,Été,Été
